client_id;Anciennete;Profession
13460427505664;142;Menuisier
4707284156416;259;Platrier
2525440770048;36;Menuisier
16973710753795;216;Maçon
3642132267010;19;Menuisier
5463198400513;25;Maçon
1709396983808;129;Menuisier
266287972352;7;Platrier
14379550507010;30;Plombier
9783935500289;37;Menuisier
14345190768641;90;Plombier
11321533792258;75;Platrier
15522011807745;58;Plombier
8993661517824;72;Couvreur
8108898254850;155;Menuisier
3805341024256;58;Maçon
7593502179328;77;Maçon
10471130267649;160;Couvreur
8452495638528;141;Plombier
12025908428802;146;Menuisier
12644383719424;;Maçon
10977936408577;288;Maçon
6717328850946;118;Menuisier
42949672960;91;Platrier
10307921510401;143;Platrier
13159779794944;126;Menuisier
10368051052547;9;Menuisier
9947144257538;216;Menuisier
6210522710017;27;Platrier
7610682048512;90;Maçon
9491877724162;141;Menuisier
4432406249473;111;Maçon
8091718385666;201;Plombier
6992206757889;49;Couvreur
8074538516481;6;Menuisier
8203387535363;32;Menuisier
12335146074114;18;Maçon
16389595201537;121;Menuisier
15178414424065;90;Menuisier
15118284881920;75;Plombier
3985729650688;;Platrier
7894149890049;34;Menuisier
2130303778818;39;Couvreur
12859132084224;160;Couvreur
575525617664;85;Plombier
8100308320256;80;Maçon
15118284881922;;Menuisier
15685220564993;81;Menuisier
15427522527232;36;Menuisier
3229815406592;45;Menuisier
3135326126082;7;Menuisier
4252017623040;6;Couvreur
10969346473985;14;Menuisier
11544872091648;11;Plombier
11510512353280;47;Platrier
10926396801025;82;Menuisier
13855564496897;117;Menuisier
5076651343875;185;Menuisier
12850542149632;52;Menuisier
6657199308801;98;Couvreur
13657996001281;26;Menuisier
11742440587265;33;Platrier
16123307229186;109;Plombier
14053132992513;22;Couvreur
13700945674242;38;Menuisier
14130442403842;22;Maçon
8641474199553;47;Menuisier
16080357556225;106;Couvreur
14551349198850;28;Menuisier
11312943857666;21;Platrier
13932873908226;17;Plombier
11819749998594;153;Maçon
163208757249;143;Platrier
3642132267009;165;Menuisier
14843406974977;25;Maçon
8864812498944;72;Menuisier
11287174053888;121;Menuisier
13194139533313;35;Maçon
12584254177282;34;Platrier
1520418422786;125;Menuisier
15049565405184;4;Menuisier
12051678232578;107;Maçon
3015067041792;157;Platrier
687194767360;110;Couvreur
9801115369474;92;Menuisier
266287972353;44;Plombier
3599182594049;29;Plombier
12206297055232;21;Couvreur
7206955122690;;Plombier
6983616823298;28;Menuisier
2748779069441;74;Menuisier
6219112644610;136;Menuisier
3874060500992;16;Menuisier
11029476016130;152;Plombier
5428838662145;99;Menuisier
9062380994562;158;Platrier
9809705304066;39;Couvreur
7507602833411;92;Couvreur
14053132992514;157;Maçon
7584912244738;133;Platrier
4681514352640;15;Couvreur
13743895347202;87;Menuisier
5360119185409;80;Platrier
14276471291904;57;Menuisier
10015863734273;90;Menuisier
11622181502978;6;Plombier
16149077032960;77;Maçon
14121852469250;57;Menuisier
11269994184706;146;Maçon
5540507811842;96;Menuisier
5961414606848;28;Plombier
7636451852289;74;Menuisier
15015205666818;82;Maçon
3899830304770;149;Plombier
8735963480065;87;Plombier
7627861917696;245;Menuisier
1202590842880;73;Platrier
9371618639873;197;Menuisier
180388626432;13;Couvreur
2843268349954;117;Menuisier
7602092113922;36;Couvreur
9363028705280;55;Maçon
266287972354;34;Maçon
8383776161793;98;Plombier
1374389534720;72;Menuisier
2774548873217;224;Plombier
16638703304705;121;Platrier
120259084290;10;Platrier
6382321401858;113;Maçon
10350871183362;180;Maçon
9328668966914;87;Maçon
11493332484097;41;Menuisier
5815385718786;129;Plombier
13134009991169;90;Menuisier
7765300871168;197;Plombier
16303695855617;216;Menuisier
13254269075458;160;Maçon
4982162063360;55;Menuisier
15298673508354;31;Menuisier
6511170420738;;Menuisier
12335146074113;47;Menuisier
11725260718082;37;Menuisier
7155415515138;37;Plombier
14310831030274;147;Couvreur
4252017623041;45;Platrier
12103217840131;164;Menuisier
16106127360000;40;Maçon
4028679323651;2;Maçon
10316511444992;35;Menuisier
1520418422785;105;Maçon
6923487281153;13;Maçon
8693013807104;30;Menuisier
5136780886016;146;Menuisier
15891378995200;65;Menuisier
16509854285825;16;Menuisier
5334349381634;33;Menuisier
11046655885314;147;Maçon
7636451852288;33;Menuisier
7456063225856;77;Plombier
6047313952768;315;Plombier
13262859010048;138;Platrier
8478265442305;48;Menuisier
12687333392386;31;Menuisier
3195455668224;7;Menuisier
10763188043778;151;Menuisier
412316860417;40;Couvreur
9105330667522;150;Plombier
420906795010;20;Maçon
3813930958848;47;Menuisier
10161892622337;173;Menuisier
11235634446338;46;Menuisier
7129645711361;249;Plombier
2456721293314;75;Menuisier
11390253268992;18;Menuisier
8529805049857;44;Maçon
1735166787587;54;Menuisier
3908420239361;103;Maçon
3770981285888;32;Menuisier
3616362463235;109;Menuisier
10136122818561;62;Plombier
4002909519873;0;Menuisier
7885559955458;20;Menuisier
15865609191427;44;Couvreur
17154099380225;35;Menuisier
6786048327681;5;Menuisier
4793183502339;39;Maçon
13993003450369;6;Maçon
12764642803712;154;Menuisier
14877766713344;45;Menuisier
9663676416000;16;Menuisier
12283606466560;175;Platrier
16604343566336;67;Menuisier
3530463117312;17;Platrier
11295763988480;138;Maçon
6897717477378;77;Menuisier
16441134809089;82;Plombier
5909874999299;25;Platrier
8177617731586;273;Plombier
10196252360706;22;Menuisier
16406775070721;152;Platrier
1288490188801;15;Menuisier
16612933500930;35;Couvreur
10230612099073;31;Couvreur
7052336300034;224;Menuisier
4664334483458;;Menuisier
15453292331010;8;Plombier
970662608897;86;Couvreur
12309376270337;21;Plombier
12180527251456;39;Platrier
15547781611522;192;Menuisier
60129542144;158;Menuisier
16913581211650;48;Menuisier
14010183319552;223;Couvreur
5566277615616;31;Platrier
14491219656704;38;Platrier
14456859918338;14;Couvreur
910533066754;27;Menuisier
16131897163776;;Platrier
9113920602114;35;Couvreur
3092376453121;47;Maçon
3315714752512;20;Plombier
7327214206978;0;Menuisier
10110353014784;85;Menuisier
3212635537409;10;Plombier
10136122818560;92;Maçon
584115552256;79;Menuisier
9783935500290;82;Menuisier
5944234737666;0;Platrier
5643587026945;255;Menuisier
4294967296001;100;Menuisier
15229954031617;79;Menuisier
6365141532674;76;Menuisier
7464653160449;29;Menuisier
283467841538;127;Platrier
8967891714048;198;Couvreur
5592047419394;28;Platrier
1185410973697;111;Menuisier
876173328384;74;Plombier
4621384810496;53;Maçon
7653631721473;;Maçon
1151051235329;62;Plombier
3917010173952;8;Maçon
12232066859010;101;Maçon
16896401342465;182;Menuisier
3736621547522;88;Menuisier
7043746365440;101;Maçon
13340168421376;147;Menuisier
4191888080898;50;Maçon
16320875724801;0;Menuisier
644245094401;110;Maçon
5188320493568;50;Menuisier
5531917877250;99;Plombier
11759620456451;304;Menuisier
15917148798977;267;Menuisier
16698832846849;57;Platrier
15118284881921;210;Plombier
1262720385025;11;Menuisier
8744553414657;74;Menuisier
6511170420736;163;Maçon
17076789968897;194;Maçon
5411658792962;46;Plombier
7610682048514;21;Plombier
16149077032962;125;Menuisier
7816840478721;257;Couvreur
2619930050561;107;Plombier
7043746365442;43;Menuisier
9912784519169;80;Platrier
4518305595392;8;Menuisier
16922171146240;106;Couvreur
10256381902850;59;Maçon
6365141532672;43;Menuisier
11673721110528;47;Maçon
5746666242048;16;Couvreur
10058813407234;119;Menuisier
4483945857026;;Menuisier
8650064134144;36;Menuisier
1056561954818;22;Menuisier
2156073582592;79;Platrier
6682969112576;16;Maçon
14929306320897;52;Menuisier
12326556139521;71;Couvreur
15865609191424;332;Maçon
2963527434240;74;Menuisier
12850542149633;168;Menuisier
11811160064002;75;Menuisier
10453950398466;108;Menuisier
9990093930496;292;Menuisier
13572096655360;;Plombier
3556232921090;67;Plombier
16862041604098;17;Platrier
3582002724866;0;Menuisier
7473243095042;23;Couvreur
2095944040448;205;Maçon
7232724926466;55;Menuisier
9466107920384;19;Menuisier
3710851743744;177;Menuisier
11330123726850;93;Menuisier
9405978378242;124;Menuisier
9234179686402;9;Menuisier
11991548690434;48;Plombier
4861902979072;27;Menuisier
403726925825;125;Menuisier
5282809774082;55;Menuisier
14774687498241;109;Plombier
16767552323586;45;Menuisier
1546188226562;54;Plombier
17016660426753;26;Plombier
7095285972994;308;Maçon
16527034155010;187;Couvreur
10943576670209;14;Menuisier
13563506720771;162;Couvreur
841813590018;61;Maçon
1382979469314;134;Menuisier
3822520893440;181;Couvreur
2439541424129;40;Maçon
7060926234626;123;Platrier
7378753814528;266;Menuisier
9689446219777;49;Menuisier
1297080123392;1;Maçon
16234976378880;34;Menuisier
5738076307456;49;Menuisier
5136780886018;59;Menuisier
8624294330369;11;Couvreur
15333033246721;42;Menuisier
16707422781442;52;Maçon
790273982466;37;Couvreur
10651518894080;97;Menuisier
10170482556929;78;Menuisier
1297080123394;16;Couvreur
14010183319553;1;Maçon
5222680231938;103;Maçon
9904194584578;100;Menuisier
3891240370177;139;Menuisier
6871947673600;67;Menuisier
1735166787585;;Menuisier
3100966387712;39;Maçon
3874060500994;;Maçon
11020886081537;39;Maçon
1975684956161;108;Menuisier
3547642986499;59;Plombier
12515534700544;69;Plombier
14714557956098;44;Maçon
8280696946691;309;Plombier
8469675507713;134;Platrier
5033701670913;281;Maçon
10290741641219;154;Maçon
8830452760579;123;Menuisier
12266426597378;3;Menuisier
15668040695809;36;Menuisier
7146825580546;104;Menuisier
6536940224514;214;Menuisier
2027224563713;34;Couvreur
12841952215041;77;Platrier
10067403341826;113;Maçon
15831249453057;91;Platrier
3478923509763;152;Maçon
10368051052544;79;Menuisier
13005160972290;100;Menuisier
3126736191490;11;Plombier
12567074308096;41;Maçon
